NAME                    UUID                                  TYPE      DEVICE    
internet                44eaaf9a-ee34-43eb-8b18-c74e5869a982  ethernet  ens33     
vlan100-mgmt            3ae90359-3d9f-48c0-92d1-10f5fa44e437  vlan      ens34.100 
vlan101-infra           6144b5fd-1b28-4f6f-8fe8-d76e6ebd8ba8  vlan      ens34.101 
vlan102-identidad       dbe20877-2ff5-4de7-9c50-1a6248061ca2  vlan      ens34.102 
vlan103-web             36badcaf-f167-46a4-9a7c-2c96dba3c7dd  vlan      ens34.103 
vlan104-db              d4b597b7-8087-4901-b634-a2e9ebe71550  vlan      ens34.104 
vlan105-uo-admin        8da51062-6d10-4764-8dd6-33105cfcf0fa  vlan      ens34.105 
vlan106-uo-operaciones  36ee00b1-cc68-4da0-bf66-140e51c79fef  vlan      ens34.106 
vlan107-uo-ventas       709860d5-6375-44b3-afb3-87d62aa20d7e  vlan      ens34.107 
vlan108-uo-ti           a11a9782-a19b-4475-9d69-3eeccc04bef2  vlan      ens34.108 
nac-mgmt                34757ead-c10f-41a2-b5de-52cba36b1f55  ethernet  ens35     
lan-trunk               efd0f8b2-d14b-4769-9edf-8638b7b2a66d  ethernet  ens34     
lo                      dc85195d-cf02-4c47-b4a7-c18b05263147  loopback  lo        
ens33                   244423cf-8b77-3314-ab90-eb49aa945113  ethernet  --        
ens34                   3e994870-8b95-31ee-b908-bf539c95af81  ethernet  --        
ens35                   1c214f30-7925-3f18-8f48-646f7d40d6f7  ethernet  --        
vlan100-mgmt            2f711a6e-4e1e-429d-a6e4-1d9464ed43ae  vlan      --        
