NAME                    UUID                                  TYPE      DEVICE    
internet                bee87978-9bc7-4ea0-a535-8a57878b8fc9  ethernet  ens33     
vlan100-mgmt            192211b0-d09c-477b-a075-bfacf64f5633  vlan      ens36.100 
vlan101-infra           b0d25522-51a7-4fb6-80d1-be294dc915b5  vlan      ens36.101 
vlan102-identidad       a9c759ac-46d4-488b-bc25-778e6d9f93f5  vlan      ens36.102 
vlan103-web             83a35cd9-149d-45ea-86cb-54ed6aa304a1  vlan      ens36.103 
vlan104-db              a2e3bc16-5aed-4da7-a396-dd0ba44b8a2b  vlan      ens36.104 
vlan105-uo-admin        97f55aba-6836-45e1-ac8d-6a18f8f73f29  vlan      ens36.105 
vlan106-uo-operaciones  1d9e7375-4966-4383-a15a-010ad3e39bf0  vlan      ens36.106 
vlan107-uo-ventas       9f9f1c28-5f4b-4581-adfd-a20f3cdd8228  vlan      ens36.107 
vlan108-uo-ti           71911b9f-b095-4ea9-9a83-82014903b9e0  vlan      ens36.108 
nac-mgmt                d78c87ac-5ad0-45bf-8497-f112e8f7a6d3  ethernet  ens37     
lan-trunk               4f8c82c3-c4d9-46f0-84fd-a140787c2eec  ethernet  ens36     
lo                      960ddb2a-1281-4467-8a17-4e24065c9a74  loopback  lo        
